attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
109,338,9561,292,22,1101,1.00,1.00,0.00,1
110,338,9561,290,22,1094,1.00,1.00,0.00,1
111,338,9561,288,22,1084,1.00,1.00,0.00,1
112,338,9561,289,22,1089,1.00,1.00,0.00,1
113,338,9561,291,22,1096,1.00,0.00,0.00,0
114,338,9561,288,23,1084,1.00,1.00,0.00,1
115,338,9561,292,23,1101,1.00,1.00,0.00,1
116,338,9561,289,23,1089,1.00,1.00,0.00,1
117,338,9561,290,23,1094,1.00,1.00,0.00,1
118,338,9561,291,23,1099,1.00,1.00,0.00,1
119,488,9518,284,27,"a:1:{i:0;s:4:"1068";}",1.00,0.00,0.00,0
120,488,9518,283,27,"a:1:{i:0;s:4:"1065";}",1.00,0.00,0.00,0
121,488,9518,286,27,"a:1:{i:0;s:4:"1075";}",1.00,1.00,0.00,1
122,488,9518,293,27,"a:1:{i:0;s:4:"1104";}",1.00,1.00,0.00,1
123,488,9518,287,27,"a:1:{i:0;s:4:"1080";}",1.00,0.00,0.00,0
124,488,9518,294,27,"a:1:{i:0;s:4:"1109";}",1.00,1.00,0.00,1
125,485,9561,297,31,1120,1.00,0.00,0.00,0
126,485,9561,304,31,1144,1.00,1.00,0.00,1
127,485,9561,301,31,1135,1.00,0.00,0.00,0
128,485,9561,290,31,1095,1.00,0.00,0.00,0
129,485,9561,298,31,1126,1.00,0.00,0.00,0
130,485,9561,297,31,1120,1.00,0.00,0.00,0
131,485,9561,304,31,1144,1.00,1.00,0.00,1
132,485,9561,301,31,1135,1.00,0.00,0.00,0
133,485,9561,290,31,1095,1.00,0.00,0.00,0
134,485,9561,298,31,1126,1.00,0.00,0.00,0
135,485,9561,297,31,1120,1.00,0.00,0.00,0
136,485,9561,304,31,1144,1.00,1.00,0.00,1
137,485,9561,301,31,1135,1.00,0.00,0.00,0
138,485,9561,290,31,1095,1.00,0.00,0.00,0
139,485,9561,298,31,1126,1.00,0.00,0.00,0
140,485,9561,297,31,1120,1.00,0.00,0.00,0
141,485,9561,304,31,1144,1.00,1.00,0.00,1
142,485,9561,301,31,1135,1.00,0.00,0.00,0
143,485,9561,290,31,1095,1.00,0.00,0.00,0
144,485,9561,298,31,1126,1.00,0.00,0.00,0
145,485,9561,297,31,1120,1.00,0.00,0.00,0
146,485,9561,304,31,1144,1.00,1.00,0.00,1
147,485,9561,301,31,1135,1.00,0.00,0.00,0
148,485,9561,290,31,1095,1.00,0.00,0.00,0
149,485,9561,298,31,1126,1.00,0.00,0.00,0
150,485,9561,297,31,1121,1.00,0.00,0.00,0
151,485,9561,304,31,1144,1.00,1.00,0.00,1
152,485,9561,301,31,1135,1.00,0.00,0.00,0
153,485,9561,290,31,1095,1.00,0.00,0.00,0
154,485,9561,298,31,1126,1.00,0.00,0.00,0
155,485,9561,307,31,1154,1.00,0.00,0.00,0
156,485,9561,292,31,1102,1.00,0.00,0.00,0
157,485,9561,303,31,1140,1.00,0.00,0.00,0
158,485,9561,289,31,1089,1.00,1.00,0.00,1
159,485,9561,296,31,1118,1.00,0.00,0.00,0
160,485,9561,297,31,1121,1.00,0.00,0.00,0
161,485,9561,304,31,1144,1.00,1.00,0.00,1
162,485,9561,301,31,1135,1.00,0.00,0.00,0
163,485,9561,290,31,1095,1.00,0.00,0.00,0
164,485,9561,298,31,1126,1.00,0.00,0.00,0
165,485,9561,307,31,1154,1.00,0.00,0.00,0
166,485,9561,292,31,1102,1.00,0.00,0.00,0
167,485,9561,303,31,1140,1.00,0.00,0.00,0
168,485,9561,289,31,1089,1.00,1.00,0.00,1
169,485,9561,296,31,1118,1.00,0.00,0.00,0
170,485,9561,297,31,1121,1.00,0.00,0.00,0
171,485,9561,304,31,1144,1.00,1.00,0.00,1
172,485,9561,301,31,1135,1.00,0.00,0.00,0
173,485,9561,290,31,1095,1.00,0.00,0.00,0
